id,title,location,description,category,images,user_id,created_at
6,test,asdfsdf,asdfsadf,Sport,"[""event-1758706109261-42153.jpeg"",""event-1758706109265-86887.jpeg""]",1,2023-10-24 08:51:38
7,Clent Hills,Clent,Scenic Walk,Nature Walks,,17,2023-10-25 07:24:50
8,Lickey Hills,Cofton,Scenic Walk,Nature Walks,,17,2023-10-25 07:25:23
9,Cadbury Factory,Bournville ,Museum,Museums & Exhibitions,,17,2023-10-25 07:26:57
10,Chasewater,Brownhill,Walk around lake,Parks & Garden,,17,2023-10-25 07:28:17
12,Shustoke Reservoir,Coleshill,Walk around the lake,Nature Walks,,17,2023-10-25 07:31:48
13,Kingsbury Water Park,Sutton Coldfield,Walk around the lake,Parks & Garden,,17,2023-10-25 07:33:27
14,Leasowes Park,Halesowen,English heritage parkland,Parks & Garden,,17,2023-10-25 07:34:48
15,Cannock Chase Forest,Rugeley,Woodland forest,Parks & Garden,,17,2023-10-25 07:36:52
16,Severn Valley Railway,Kidderminster,Steam railway,Culture & History,,17,2023-10-25 07:38:38
17,Boscobel House,Shropshire,English Heritage,Historic Houses & Castles,"[""event-1705716472702-38114.jpeg""]",17,2023-10-25 07:40:14
20,Mill Garden,Leamington Spa,Park and Garden. CV31 1BB,Parks & Garden,,17,2023-11-08 16:20:07
21,Foundry Woods,Leamington Spa,Community Woodland. CV31 3PH,Parks & Garden,,17,2023-11-08 16:21:16
22,Jephsons Gardens,Leamington Spa,Historical Garden. CV32 4AA,Parks & Garden,,17,2023-11-08 16:22:15
23,Pump Room Gardens,Leamington Spa,Historical Park Garden. CV32 4AA. Stop at Jephson Garden,Parks & Garden,,17,2023-11-08 16:23:43
24,Victoria Park,Leamington Spa,Main Park in Leamington. CV31 3PH,Parks & Garden,,17,2023-11-08 16:24:46
25,Newbold Comyn,Leamington Spa,"300 acres park. Has a old farmhouse that is now a pub, 33 metres swimming pool, cafe, chuldrens fun pool. CV32 4EW",Parks & Garden,,17,2023-11-08 16:26:42
26,Knowle Lock,Knowle,Park on the car park on Hampton Road and access the towpath of the canal then follow it south to the canal bridge on Kenilworth Road and onto Kingswood.,Nature Walks,[],17,2023-12-16 19:23:45
27,Springfield Park,Kidderminster ,Park in middle of Kidderminster,Parks & Garden,"[""event-1705397525919-74626.jpeg""]",17,2023-12-16 19:26:03
28,Warley Woods,Warley,Walk in the woods,Nature Walks,"[""event-1705397450234-22227.jpeg""]",17,2023-12-16 19:27:54
29,Heronfield Animal Rescue Centre,Knowle,Small animals,Animal and Wildlife,[],17,2023-12-16 19:30:26
30,Carding Mill Valley,Church Stretton,Can drive to top of the hill,Nature Walks,"[""event-1705397409994-42225.jpeg""]",17,2023-12-16 19:32:13
31,Plantsbrook Nature Reserve,Sutton Coldfield,Mostly Open Water,Nature Walks,"[""event-1705397372990-43000.jpeg""]",17,2023-12-16 19:34:56
32,Calthorope,Wednesbury,New Park,Culture & History,,29,2024-01-04 11:28:06
33,The Parks VR,Birmingham,VR Adventures,Indoor Activities,"[""event-1705715775402-66879.jpeg""]",17,2024-01-20 08:56:15
34,Harvington Hall,Kidderminster,"Historic House

Harvington,
Kidderminster,
Worcestershire
DY10 4LR",Historic Houses & Castles,"[""event-1705716984645-79879.jpeg"",""event-1705716984645-28194.jpeg""]",17,2024-01-20 09:16:25
35,Rosliston Forestry Centre,Rosliston,"DE12 8JX
Burton Rd , Rosliston , Swadlincote",Nature Walks,"[""event-1705717853598-98743.jpeg""]",17,2024-01-20 09:30:54
36,Dimmingsdale,Alton,"Rolling countryside provides an abundance of woodland, streams, ponds and lakes 

ST10 4BU
Alton, Stoke-on-Trent",Nature Walks,"[""event-1705718135159-66566.jpeg""]",17,2024-01-20 09:35:35
37,Cafe Craft,Bearwood,"Art, painting, jewellery creation.

521 Bearwood Road
Bearwood
Birmingham
B66 4BE",Indoor Activities,"[""event-1705719136635-96033.jpeg""]",17,2024-01-20 09:52:17
38,Hockerhill ,Staffordshire ST19 9BQ,Play area and adventure centre,Play Centres,"[""event-1711191839194-33252.jpeg""]",17,2024-03-23 18:03:59
39,Rhea Valley Ride,Worcester,Boat ride,Concerts,[],29,2024-04-17 03:13:53
40,Habberley,Bromswood,Trail,Concerts,[],29,2024-04-17 03:14:32
41,Lickey Walk,Bromsgrove,Walk,Nature Walks,[],29,2024-04-17 03:15:04
42,Spot on Wake,Henley in Harden,"Wootton Park, Wootton Wawen, Henley-in-Arden B95 6HJ",Water Activities,"[""event-1715367471622-62884.jpeg""]",17,2024-05-11 01:57:52
43,Cliff Lakes,Tamworth,"Tamworth Rd, Cliff, Tamworth B78 2DL",Water Activities,"[""event-1715367575359-86506.jpeg""]",17,2024-05-11 01:59:36
45,Subtropical Swimming Paradise,Bedford,"Woburn Forest, Fordfield Rd, Millbrook, Bedford MK45 2HZ",Water Activities,"[""event-1715368199874-35220.jpeg"",""event-1715368201775-46964.jpeg""]",17,2024-05-11 02:10:02
