id,user_id_1,user_id_2,created_at
22,28,29,2023-11-09 22:43:27
23,39,38,2023-11-11 20:03:04
24,40,38,2023-11-11 20:12:39
26,43,38,2023-11-14 19:03:19
27,38,41,2023-11-15 00:04:51
28,44,38,2023-11-15 01:44:24
29,45,38,2023-11-18 14:40:26
34,56,17,2023-12-21 09:10:23
35,57,17,2023-12-22 00:27:39
37,29,76,2024-01-02 09:14:48
38,29,77,2024-01-02 09:15:26
46,1,40,2024-05-30 03:02:12
47,1,41,2024-05-30 03:02:12
49,1,43,2024-05-30 03:02:12
50,1,44,2024-05-30 03:02:12
51,1,45,2024-05-30 03:02:12
52,1,46,2024-05-30 03:02:12
54,1,48,2024-05-30 03:02:12
55,1,49,2024-05-30 03:02:12
56,1,50,2024-05-30 03:02:12
57,1,51,2024-05-30 03:02:12
59,1,53,2024-05-30 03:02:12
63,1,57,2024-05-30 03:02:12
64,1,58,2024-05-30 03:02:12
65,1,59,2024-05-30 03:02:12
66,1,60,2024-05-30 03:02:12
67,1,61,2024-05-30 03:02:12
68,1,62,2024-05-30 03:02:12
69,1,63,2024-05-30 03:02:12
71,1,65,2024-05-30 03:02:12
72,1,66,2024-05-30 03:02:12
73,1,67,2024-05-30 03:02:12
74,1,68,2024-05-30 03:02:12
76,1,70,2024-05-30 03:02:12
77,1,71,2024-05-30 03:02:12
78,1,72,2024-05-30 03:02:12
79,1,73,2024-05-30 03:02:12
80,1,74,2024-05-30 03:02:12
81,1,75,2024-05-30 03:02:12
83,1,77,2024-05-30 03:02:12
85,1,87,2024-05-30 03:02:12
89,1,94,2024-05-30 03:02:12
91,1,96,2024-05-30 03:02:12
92,1,97,2024-05-30 03:02:12
94,1,99,2024-05-30 03:02:12
95,1,100,2024-05-30 03:02:12
96,1,101,2024-05-30 03:02:12
97,1,102,2024-05-30 03:02:12
98,1,103,2024-05-30 03:02:12
99,1,105,2024-05-30 03:02:12
100,1,106,2024-05-30 03:02:12
101,1,107,2024-05-30 03:02:12
103,1,109,2024-05-30 03:02:12
104,1,111,2024-05-30 03:02:12
105,1,112,2024-05-30 03:02:12
106,1,113,2024-05-30 03:02:12
107,1,114,2024-05-30 03:02:12
180,1,39,2024-05-30 03:27:25
181,1,47,2024-05-30 03:27:25
184,1,56,2024-05-30 03:27:25
185,1,64,2024-05-30 03:27:25
191,1,17,2024-05-30 04:22:16
192,1,28,2024-05-30 04:22:16
193,1,29,2024-05-30 04:22:16
194,1,38,2024-05-30 04:22:16
195,1,69,2024-05-30 04:22:16
196,1,76,2024-05-30 04:22:16
197,1,88,2024-05-30 04:22:16
198,1,91,2024-05-30 04:22:16
199,1,98,2024-05-30 04:22:16
200,1,108,2024-05-30 04:22:16
201,1,119,2024-05-30 04:22:16
204,1,124,2024-05-30 16:52:57
205,1,125,2024-06-01 10:54:14
206,1,126,2024-06-01 23:33:45
207,1,127,2024-06-01 23:47:41
208,1,128,2024-06-02 07:39:22
209,1,129,2024-06-02 19:54:16
210,1,130,2024-06-06 17:28:30
229,1,165,2024-06-13 13:47:52
233,1,169,2024-06-14 07:51:20
236,1,172,2024-06-28 03:43:04
237,1,173,2024-06-28 10:53:14
246,1,181,2024-07-03 18:05:50
249,53,130,2024-07-04 08:07:41
250,1,184,2024-07-06 18:53:00
257,1,187,2024-07-12 16:21:31
258,1,188,2024-07-13 02:03:49
